total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
100000.00000000,0.00000000,100000.00000000,USDT,BINANCE-001,MARGIN,USDT,[],True,{}
99999.98800280,10.49755000,99989.49045280,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.49755000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
100000.01858856,0.00000000,100000.01858856,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
100000.00656752,10.51841000,99989.48815752,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.51841000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.94976440,0.00000000,99999.94976440,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.93779012,10.47749500,99989.46029512,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.47749500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.89612772,0.00000000,99999.89612772,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.88414576,10.48421500,99989.39993076,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.48421500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.81398708,0.00000000,99999.81398708,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.80203096,10.46160500,99989.34042596,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.46160500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.76608444,0.00000000,99999.76608444,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.75412800,10.46188500,99989.29224300,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.46188500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.75646584,0.00000000,99999.75646584,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.74450376,10.46682000,99989.27768376,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.46682000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.71864724,0.00000000,99999.71864724,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.70668876,10.46367000,99989.24301876,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.46367000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.68423448,0.00000000,99999.68423448,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.67228924,10.45208500,99989.22020424,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.45208500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.63825284,0.00000000,99999.63825284,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.62630596,10.45352000,99989.17278596,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.45352000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.63665016,0.00000000,99999.63665016,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.62469048,10.46472000,99989.15997048,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.46472000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.64701708,0.00000000,99999.64701708,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.63503664,10.48288500,99989.15215164,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.48288500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.66363996,0.00000000,99999.66363996,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.65164600,10.49471500,99989.15693100,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.49471500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.58897232,0.00000000,99999.58897232,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.57701352,10.46395000,99989.11306352,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.46395000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.55825744,0.00000000,99999.55825744,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
99999.54627908,10.48106500,99989.06521408,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '10.48106500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
99999.50791128,0.00000000,99999.50791128,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
